addr:housenumber,addr:street,building
54,Melville Drive,detached
11,Phylis Street,detached
85,Larkin Drive,detached
101,Larkin Drive,detached
7,Ettrick Crescent,detached
16,Raftus Square,detached
32,Fable Street,detached
72,Melville Drive,detached
18,Ettrick Crescent,detached
35,Teevens Drive,detached
101,Stradwick Avenue,detached
68,St. Remy Drive,detached
7,Andrea Crescent,detached
41,Phylis Street,detached
30,St. Remy Drive,detached
13,Laming Street,detached
21,Melville Drive,detached
34,Ettrick Crescent,detached
123,Stradwick Avenue,detached
45,Teevens Drive,detached
140,Malvern Drive,detached
17,Jerrilynn Crescent,detached
22,Langholm Crescent,detached
4,Bajan Street,detached
6,Blueridge Court,detached
5,Langholm Crescent,detached
16,Andrea Crescent,detached
20,Kane Terrace,detached
21,Roberta Crescent,detached
30,Teevens Drive,detached
5,Phylis Street,detached
78,Fable Street,detached
66,St. Remy Drive,detached
64,Melville Drive,detached
42,Fable Street,house
40,Melville Drive,detached
18,Roberta Crescent,detached
6,Raftus Square,detached
33,St. Remy Drive,detached
17,Andrea Crescent,detached
148,Larkin Drive,detached
40,Ettrick Crescent,detached
19,Andrea Crescent,detached
5,Ettrick Crescent,detached
24,Raftus Square,detached
3,Kane Terrace,detached
11,Melville Drive,detached
41,Ettrick Crescent,detached
12,Teevens Drive,detached
100,Larkin Drive,detached
115,Larkin Drive,detached
31,Langholm Crescent,detached
5,Roberta Crescent,detached
71,Teevens Drive,detached
51,Ettrick Crescent,detached
105,Larkin Drive,detached
123,Larkin Drive,detached
20,Fable Street,house
68,Melville Drive,detached
41,Teevens Drive,detached
97,Stradwick Avenue,detached
45,St. Remy Drive,detached
13,Langholm Crescent,detached
10,Andrea Crescent,detached
201,Sherway Drive,terrace
38,Phylis Street,detached
5,Jerrilynn Crescent,detached
12,Laming Street,detached
44,Melville Drive,detached
125,Stradwick Avenue,detached
51,Teevens Drive,detached
9,Chalice Court,detached
60,St. Remy Drive,detached
29,Langholm Crescent,detached
29,Teevens Drive,detached
13,Blueridge Court,detached
7,Langholm Crescent,detached
18,Andrea Crescent,detached
25,Roberta Crescent,detached
79,Teevens Drive,detached
136,Larkin Drive,house
41,St. Remy Drive,detached
15,Teevens Drive,detached
40,Fable Street,detached
17,Kane Terrace,detached
20,Roberta Crescent,detached
86,Melville Drive,detached
129,Larkin Drive,detached
49,Langholm Crescent,detached
9,Barran Street,detached
14,Barran Street,detached
31,Laming Street,house
4,Ettrick Crescent,detached
12,St. Remy Drive,detached
3,Ettrick Crescent,detached
26,Raftus Square,detached
46 B,Whelan Drive,terrace
9,Blueridge Court,detached
24,Ettrick Crescent,detached
6,Bajan Street,detached
61,Teevens Drive,detached
40,Langholm Crescent,detached
26,Barrhaven Crescent,detached
23,Barran Street,detached
9,Phylis Street,detached
49,Ettrick Crescent,detached
103,Larkin Drive,detached
21,Laming Street,detached
13,Kane Terrace,detached
74,Melville Drive,detached
16,Phylis Street,detached
104,Weybridge Drive,detached
37,Langholm Crescent,detached
18,Langholm Crescent,detached
11,Andrea Crescent,detached
30,Berkshire Way,terrace
2,Andrea Crescent,detached
8,Langholm Crescent,detached
18,Laming Street,detached
42,Melville Drive,detached
6,Barran Street,detached
80,Stradwick Avenue,detached
49,Teevens Drive,detached
84,Larkin Drive,detached
39,St. Remy Drive,detached
135,Stradwick Avenue,detached
10,Blueridge Court,detached
22,Roberta Crescent,detached
31,Andrea Crescent,detached
12,Jerrilynn Crescent,detached
23,Roberta Crescent,detached
81,Teevens Drive,detached
6,Phylis Street,detached
21,St. Remy Drive,detached
11,Teevens Drive,detached
41 A,Fable Street,terrace
4,Kane Terrace,detached
16,Roberta Crescent,detached
31,Phylis Street,detached
158,Larkin Drive,detached
58,St. Remy Drive,detached
7,Roberta Crescent,detached
8,St. Remy Drive,detached
28,Raftus Square,detached
93,Larkin Drive,detached
1,Langholm Crescent,detached
37,Barrhaven Crescent,detached
20,Raftus Square,detached
63,Whelan Drive,terrace
35,Kane Terrace,detached
26,Ettrick Crescent,detached
16,Teevens Drive,detached
91,Stradwick Avenue,detached
27,Jerrilynn Crescent,detached
4,Andrea Crescent,detached
160,Larkin Drive,detached
139,Larkin Drive,detached
36,Ettrick Crescent,detached
109,Larkin Drive,detached
17,Laming Street,detached
128,Larkin Drive,house
115,Stradwick Avenue,detached
12,Langholm Crescent,detached
17,Langholm Crescent,detached
8,Teevens Drive,detached
57,Whelan Drive,terrace
94,Larkin Drive,detached
6,Langholm Crescent,detached
106,Larkin Drive,detached
48,Melville Drive,detached
2,Barran Street,detached
38,Teevens Drive,detached
22,Teevens Drive,detached
88,Larkin Drive,detached
135,Larkin Drive,detached
33,Teevens Drive,detached
14,Blueridge Court,detached
8,Roberta Crescent,detached
24,St. Remy Drive,detached
21,Jerrilynn Crescent,detached
22,Ettrick Crescent,detached
65,Melville Drive,detached
142,Larkin Drive,detached
25,St. Remy Drive,detached
71,Larkin Drive,detached
78,Melville Drive,detached
22 F,Maple Ridge Crescent,terrace
21,Kane Terrace,detached
